,Rank,Release Date,Movie Title,Production Budget ($),Worldwide Gross ($),Domestic Gross ($)
204,4145,11/19/1975,One Flew Over the Cuckoo's Nest,4400000,108981275,"$108,981,275"
205,3723,1/1/1976,Logan's Run,7000000,25000000,"$25,000,000"
206,4251,1/1/1976,Network,3800000,23689877,"$23,689,877"
207,4805,1/1/1976,The Blue Bird,1200000,887000,"$887,000"
208,4146,6/25/1976,Silent Movie,4400000,36145695,"$36,145,695"
209,4443,6/25/1976,The Omen,2800000,48570885,"$48,570,885"
210,4844,8/2/1976,Taxi Driver,1000000,28316211,"$28,262,574"
211,4353,9/4/1976,Family Plot,3000000,13200000,"$13,200,000"
212,4025,11/3/1976,Robin and Marian,5000000,8000000,"$8,000,000"
213,4661,11/16/1976,Carrie,1800000,25878153,"$25,878,153"
214,4840,11/21/1976,Rocky,1000000,225000000,"$117,235,147"
215,2202,12/17/1976,King Kong,23000000,90614445,"$52,614,445"
216,5051,1/1/1977,Kingdom of the Spiders,500000,17000000,"$17,000,000"
217,5297,1/1/1977,Eraserhead,100000,7012524,"$7,000,000"
218,3326,3/11/1977,Pete’s Dragon,10000000,36000000,"$36,000,000"
219,4165,4/20/1977,Annie Hall,4000000,38251425,"$38,251,425"
220,3765,5/8/1977,March or Die,7000000,1000000,"$1,000,000"
221,3239,5/25/1977,Star Wars Ep. IV: A New Hope,11000000,786598007,"$460,998,007"
222,1978,6/15/1977,A Bridge Too Far,26000000,50800000,"$50,800,000"
223,2980,6/17/1977,Exorcist II: The Heretic,14000000,25011000,"$25,011,000"
224,2989,6/22/1977,"New York, New York",14000000,13800000,"$13,800,000"
225,2278,6/24/1977,Sorcerer,21600000,12000000,"$12,000,000"
226,2969,7/13/1977,The Spy Who Loved Me,14000000,185400000,"$46,800,000"
227,5028,10/8/1977,The Kentucky Fried Movie,600000,20000000,"$15,000,000"
228,2713,10/21/1977,Damnation Alley,17000000,0,$0
229,2309,11/16/1977,Close Encounters of the Third Kind,20000000,337700000,"$166,000,000"
230,4304,12/23/1977,High Anxiety,3400000,31063038,"$31,063,038"
231,3009,1/1/1978,Caravans,14000000,1000000,"$1,000,000"
232,3165,1/1/1978,The Boys from Brazil,12000000,19000000,"$19,000,000"
233,4338,1/1/1978,Coming Home,3000000,32653000,"$32,653,000"
234,3260,4/13/1978,F.I.S.T,11000000,20388920,"$20,388,920"
235,2318,6/16/1978,Jaws 2,20000000,208900376,"$102,922,376"
236,3828,6/16/1978,Grease,6000000,387513770,"$181,813,770"
237,2798,6/28/1978,Heaven Can Wait,15000000,98800000,"$98,800,000"
238,4330,7/28/1978,National Lampoon's Animal House,3000000,141600000,"$141,600,000"
239,4382,9/13/1978,Days of Heaven,3000000,3660880,"$3,446,749"
240,5153,10/17/1978,Halloween,325000,70000000,"$47,000,000"
241,2186,10/24/1978,The Wiz,24000000,13000000,"$13,000,000"
242,912,12/15/1978,Superman,55000000,300200000,"$134,218,018"
243,4026,12/22/1978,Force 10 from Navarone,5000000,7100000,"$7,100,000"
244,2814,1/1/1979,The Deer Hunter,15000000,50000000,"$50,000,000"
245,3885,2/2/1979,The First Great Train Robbery,6000000,391942,"$391,942"
246,4717,4/20/1979,Dawn of the Dead,1500000,55000000,"$5,100,000"
247,3106,5/25/1979,The Prisoner of Zenda,12500000,7000000,"$7,000,000"
248,3510,5/25/1979,Alien,9000000,203630630,"$80,930,630"
249,3160,6/15/1979,Prophecy,12000000,22673340,"$22,673,340"
250,3598,6/22/1979,The Muppet Movie,8000000,76657000,"$76,657,000"
251,3604,6/22/1979,Escape from Alcatraz,8000000,43000000,"$43,000,000"
252,1696,6/29/1979,Moonraker,31000000,210300000,"$70,300,000"
253,5266,6/30/1979,Dolphin,170000,14000,"$14,000"
254,3573,7/11/1979,The Rose,8500000,29200000,"$29,200,000"
255,1521,7/12/1979,Star Trek: The Motion Picture,35000000,139000000,"$82,258,456"
256,1691,8/15/1979,Apocalypse Now,31500000,81250488,"$78,800,000"
257,4173,8/17/1979,The Life of Brian,4000000,20008693,"$20,008,693"
258,4449,10/17/1979,The Black Stallion,2700000,37799643,"$37,799,643"
259,2759,10/19/1979,Meteor,16000000,8400000,"$8,400,000"
260,1676,12/14/1979,1941,32000000,94875000,"$34,175,000"
261,2361,12/21/1979,The Black Hole,20000000,35841901,"$35,841,901"
262,1624,1/1/1980,Lion of the Desert,35000000,1500000,"$1,500,000"
263,3805,1/1/1980,Dressed to Kill,6500000,31899000,"$31,899,000"
264,4279,1/1/1980,Terror Train,3500000,8000000,"$8,000,000"
265,5144,1/1/1980,Maniac,350000,10000000,"$10,000,000"
266,4846,1/2/1980,The Fog,1000000,21378361,"$21,378,361"
267,1414,1/8/1980,Raise the Titanic,40000000,7000000,"$7,000,000"
268,3952,3/10/1980,Somewhere in Time,5100000,9709597,"$9,709,597"
269,3977,3/10/1980,The Elephant Man,5000000,26010864,"$26,010,864"
270,5229,3/21/1980,Mad Max,200000,99750000,"$8,750,000"
271,4264,4/7/1980,Airplane!,3500000,83453539,"$83,453,539"
272,1573,5/12/1980,Flash Gordon,35000000,27107960,"$27,107,960"
273,3374,5/16/1980,The Long Riders,10000000,15198912,"$15,198,912"
274,5132,5/16/1980,Home Movies,400000,89134,"$89,134"
275,2196,5/21/1980,Star Wars Ep. V: The Empire Strikes Back,23000000,534171960,"$290,271,960"
276,2536,5/23/1980,The Shining,19000000,44391156,"$44,017,374"
277,3929,6/6/1980,Galaxina,5500000,4865000,"$4,865,000"
278,2261,6/13/1980,The Island,22000000,15716828,"$15,716,828"
279,1941,6/20/1980,The Blues Brothers,27000000,57229890,"$57,229,890"
280,2490,6/20/1980,Can't Stop the Music,20000000,2000000,"$2,000,000"
